iter	Passed	Remaining
462	768	890
463	769	888
464	770	886
465	771	883
466	772	881
467	773	879
468	775	877
469	776	875
470	777	872
471	778	870
472	779	868
473	781	866
474	782	864
475	783	862
476	784	859
477	785	857
478	786	855
479	788	853
480	789	851
481	790	849
482	791	847
483	793	845
484	794	843
485	795	841
486	796	838
487	797	836
488	798	834
489	799	832
490	800	830
491	801	827
492	803	825
493	804	823
494	805	821
495	806	819
496	807	817
497	809	815
498	810	813
499	811	811
500	812	809
501	813	807
502	814	805
503	815	802
504	816	800
505	817	798
506	818	796
507	819	794
508	820	791
509	821	789
510	822	787
511	823	784
512	824	782
513	825	780
514	826	778
515	827	776
516	828	774
517	829	772
518	830	769
519	831	767
520	832	765
521	833	763
522	834	761
523	835	759
524	836	756
525	837	754
526	838	752
527	839	750
528	840	748
529	841	746
530	843	744
531	844	742
532	845	740
533	846	738
534	847	736
535	849	734
536	850	732
537	851	730
538	852	728
539	853	726
540	854	725
541	855	723
542	856	721
543	858	719
544	859	717
545	860	715
546	861	713
547	863	712
548	864	710
549	866	708
550	867	707
551	869	705
552	870	703
553	871	701
554	873	700
555	877	700
556	878	698
557	879	696
558	881	695
559	882	693
560	884	692
561	885	690
562	886	688
563	889	687
564	890	685
565	891	683
566	892	681
567	894	680
568	895	678
569	896	676
570	897	674
571	899	672
572	900	671
573	901	669
574	903	667
575	904	665
576	916	672
577	918	670
578	920	669
579	921	667
580	922	665
581	924	663
582	925	662
583	927	660
584	928	658
585	929	656
586	930	654
587	931	652
588	932	650
589	933	648
590	934	646
591	935	644
592	936	642
593	937	640
594	938	638
595	939	637
596	940	635
597	941	633
598	942	631
599	943	629
600	944	627
601	945	625
602	946	623
603	947	621
604	948	619
605	949	617
606	950	615
607	951	613
608	952	611
609	952	609
610	954	607
611	955	605
612	956	603
613	957	601
614	957	599
615	958	597
616	959	595
617	960	593
618	961	592
619	962	590
620	963	588
621	964	586
622	965	584
623	966	582
624	967	580
625	968	578
626	969	576
627	970	574
628	971	573
629	972	571
630	973	569
631	974	567
632	975	565
633	976	563
634	977	562
635	978	560
636	979	558
637	980	556
638	981	554
639	982	552
640	983	550
641	984	549
642	985	547
643	986	545
644	987	543
645	988	541
646	989	539
647	990	538
648	991	536
649	992	534
650	993	532
651	994	530
652	995	528
653	996	526
654	997	525
655	998	523
656	999	521
657	1000	519
658	1001	518
659	1002	516
660	1003	514
661	1004	512
662	1005	511
663	1006	509
664	1007	507
665	1008	505
666	1009	504
667	1010	502
668	1012	500
669	1013	499
670	1014	497
671	1015	495
672	1016	494
673	1017	492
674	1018	490
675	1020	488
676	1021	487
677	1022	485
678	1023	483
679	1024	482
680	1025	480
681	1027	479
682	1028	477
683	1029	475
684	1030	474
685	1032	472
686	1033	470
687	1034	469
688	1035	467
689	1037	465
690	1038	464
691	1039	462
692	1040	461
693	1041	459
694	1043	457
695	1044	456
696	1045	454
697	1046	452
698	1047	451
699	1049	449
700	1050	447
701	1051	446
702	1052	444
703	1053	442
704	1054	441
705	1055	439
706	1057	438
707	1058	436
708	1060	435
709	1061	433
710	1062	431
711	1063	430
712	1065	428
713	1066	427
714	1067	425
715	1068	423
716	1069	422
717	1071	420
718	1073	419
719	1074	417
720	1075	416
721	1077	414
722	1078	413
